object_id,num_queries,top1_rate,top5_rate,mean_rank,median_rank
3836.rf.5593476e218d3458202eb55d88f70676_object0,1,1.0,1.0,1.0,1.0
3215.rf.2e19342a5e9557ad837d3b98267d1ffc_object0,1,1.0,1.0,1.0,1.0
2232.rf.93366df80c896bda322de47beba47441_object0,1,1.0,1.0,1.0,1.0
2084.rf.950ff4fcd9bc177e7831cb4c9a2dd6eb_object0,1,1.0,1.0,1.0,1.0
3150.rf.1ca4ed4a1274c78e2030b61aa874e8ed_object0,1,1.0,1.0,1.0,1.0
3162.rf.c7cb7c1c601f27043c0ddb17b74edfdd_object0,1,1.0,1.0,1.0,1.0
1998.rf.c310ef9093282f4e2e72be168ab5f879_object0,1,1.0,1.0,1.0,1.0
1813.rf.79f1af872f76dd8b46df4a83ed5f54c6_object1,1,1.0,1.0,1.0,1.0
3159.rf.8e32d9347a6cc6090b8810e9ecf6db13_object0,1,1.0,1.0,1.0,1.0
3259.rf.a92a5f313a7c48a2a4e7973db4fb19e2_object0,1,1.0,1.0,1.0,1.0
3848.rf.eebe99038cd40502695607594e000258_object0,1,1.0,1.0,1.0,1.0
2388.rf.dd8dc351bb67d6bfc9ae331dae59cb0d_object0,1,1.0,1.0,1.0,1.0
3313.rf.5f0a7ba195fe30e2ed30165df414b94e_object0,1,1.0,1.0,1.0,1.0
1804.rf.7e39a73f7b0d1c4bdf8094006e0cf495_object0,1,1.0,1.0,1.0,1.0
2584.rf.ae6d3c785f229ad271065776e4263d7f_object0,1,1.0,1.0,1.0,1.0
3897.rf.94c81f86436f41e7bba4b2e66934a470_object0,1,1.0,1.0,1.0,1.0
3376.rf.06fe7c72959b6ae5c03d19165ea3d515_object0,1,1.0,1.0,1.0,1.0
3808.rf.493b34c335bf6a7418b971aa62b7d0fd_object0,1,1.0,1.0,1.0,1.0
2067.rf.23ed68b28ea7c5e4cbfb234ffa9702ea_object0,1,1.0,1.0,1.0,1.0
2363.rf.66dcd237b513dd108c4b8e9ffec97d8d_object0,1,1.0,1.0,1.0,1.0
1960.rf.a23272eb27c0f5ab6327f98571919ad9_object0,1,1.0,1.0,1.0,1.0
1806.rf.8c87862452f4ce0232a666c180ec9942_object0,1,1.0,1.0,1.0,1.0
2412.rf.e84608f5da46f7643e7da0b7646e6db4_object0,1,1.0,1.0,1.0,1.0
2369.rf.a3202ed06db3bc7523390481441fb197_object1,1,1.0,1.0,1.0,1.0
1957.rf.e4ee900c82e7bab356690f56f27959c6_object0,1,1.0,1.0,1.0,1.0
3227.rf.1bfaf73652a764c8825e813c25a347a8_object0,1,1.0,1.0,1.0,1.0
3229.rf.66af8e45c447ae474773ccf8e7c50a5a_object0,1,1.0,1.0,1.0,1.0
2437.rf.0d98e6b224e34447aafdf882383ea14a_object0,1,1.0,1.0,1.0,1.0
3137.rf.a83bb9c7dcb0b1dab1a5bf818c423185_object0,1,1.0,1.0,1.0,1.0
2373.rf.e46190ac62dfc1db6f49d8a51cb3c7f7_object0,1,1.0,1.0,1.0,1.0
2275.rf.586655e669fa91476d091094ff24d359_object0,1,1.0,1.0,1.0,1.0
2515.rf.ff5e3199ed1dd044ecd274b38761e272_object0,1,1.0,1.0,1.0,1.0
3063.rf.8e65e867e7dac42c2cbfcc6107ea6a5c_object0,1,1.0,1.0,1.0,1.0
3872.rf.0e39fa77d324ee70da6d5e31e943678c_object0,1,1.0,1.0,1.0,1.0
2197.rf.b97a6e0452cf8a431fdcb24bfb4d643d_object0,1,1.0,1.0,1.0,1.0
3023.rf.6e959c0e312734aaf3a0c0486fc4a906_object0,1,1.0,1.0,1.0,1.0
2323.rf.06768caef93b3a44d3c59325a03230eb_object0,1,1.0,1.0,1.0,1.0
3225.rf.00490d0babc76539398c471f17b0d6e7_object0,1,1.0,1.0,1.0,1.0
1716.rf.85ea38b36008beaa72c5d8541f734eb0_object1,1,1.0,1.0,1.0,1.0
1716.rf.85ea38b36008beaa72c5d8541f734eb0_object0,1,1.0,1.0,1.0,1.0
2243.rf.97ce3609d517af6979f6d5db3295814f_object0,1,1.0,1.0,1.0,1.0
3067.rf.006b54ea05537cb110efb4e8ee046272_object0,1,1.0,1.0,1.0,1.0
3600.rf.b7b614527ef02e79cf9bac0f01499db1_object0,3,0.3333333333333333,1.0,2.0,2.0
3068.rf.c15cd50686e78f2840ab43aa578e1d7d_object0,3,0.0,0.0,18.333333333333332,17.0
3172.rf.cb0999cf34611fb5bbdac2a5c68b926b_object0,2,0.0,0.0,15.0,15.0
3354.rf.0a71b77956ae50ad6ea1195c2ac55cd0_object0,2,0.0,0.0,23.0,23.0
3852.rf.449ecbe5cec6616321519ad9291ee6ea_object0,2,0.0,0.0,47.5,47.5
3306.rf.b72adcdf677fa01eeccf1247826ff0d8_object1,2,0.0,0.0,13.0,13.0
3093.rf.842f05edf426b1584757049a52269c07_object0,1,0.0,0.0,13.0,13.0
3231.rf.4888b161d3d270231d4cc729b7348d7e_object0,1,0.0,1.0,2.0,2.0
2413.rf.669f2c0f7a1d89a840314907bb8be452_object0,1,0.0,1.0,2.0,2.0
2416.rf.0daa5b77c15dedd67a5b013075476db8_object0,1,0.0,1.0,2.0,2.0
1616.rf.c868709931a671796794fdbb95352c5a_object2,1,0.0,0.0,10.0,10.0
1616.rf.c868709931a671796794fdbb95352c5a_object1,1,0.0,1.0,2.0,2.0
2470.rf.3bba055020993dc304c435353cfd1818_object0,1,0.0,1.0,2.0,2.0
3443.rf.ae3196f72376757297122e81626f6f60_object0,1,0.0,1.0,4.0,4.0
3154.rf.96c992d5b0c2d0fc334a116d0ecf9330_object0,1,0.0,0.0,19.0,19.0
2454.rf.98ca60a89bb835f7ef56315930fdef1d_object0,1,0.0,0.0,11.0,11.0
2274.rf.5712706f169ad5ab788f546227533d28_object3,1,0.0,0.0,39.0,39.0
3174.rf.8ec774fc4db15af6b7d1e920c31f759c_object0,1,0.0,0.0,7.0,7.0
2535.rf.1c9939260116325701f7944151a9aeb1_object0,1,0.0,1.0,4.0,4.0
3262.rf.c9dc3251366364177a515678a4b7deca_object0,1,0.0,0.0,8.0,8.0
3240.rf.a3096e02cbb77913c600a48e6673fc34_object0,1,0.0,0.0,61.0,61.0
3266.rf.e869e737911fd5b9235a9dcb6e297cc3_object0,1,0.0,0.0,7.0,7.0
3206.rf.ec6794d42a29e7bd3f3252073c6eed71_object0,1,0.0,1.0,4.0,4.0
1819.rf.d2d41865c85e1019dc3e8b9daf73c434_object0,1,0.0,0.0,23.0,23.0
3275.rf.f98acf5215d6730828f485c270ae7b54_object0,1,0.0,0.0,18.0,18.0
3498.rf.d6a2177504b9a25c571a3c936d1ae1a8_object0,1,0.0,0.0,19.0,19.0
2400.rf.e2dbfc7baf8e55f3ee71cde186d199c2_object0,1,0.0,1.0,3.0,3.0
2339.rf.998318533e4ed9c7bcb7d32a307f3ef5_object0,1,0.0,0.0,78.0,78.0
1813.rf.79f1af872f76dd8b46df4a83ed5f54c6_object0,1,0.0,0.0,6.0,6.0
3833.rf.e85ce14ff45661fe11e7d51a072cdef6_object0,1,0.0,1.0,5.0,5.0
3813.rf.e15af5ed48e2b7af887d08311ef9a478_object0,1,0.0,0.0,40.0,40.0
2271.rf.8da6d46618460757719f6df2f8d89297_object0,1,0.0,1.0,5.0,5.0
2575.rf.702ecb64c7c46731d4c1896e1221bcb7_object0,1,0.0,1.0,4.0,4.0
1979.rf.dea5db582b997afc4acb0f68d74c3b84_object0,1,0.0,1.0,2.0,2.0
3351.rf.1c54d04ac035ecc049785b24e7435668_object0,1,0.0,1.0,3.0,3.0
2252.rf.87849e818065fa8392978ab64926d339_object0,1,0.0,1.0,2.0,2.0
2506.rf.0293f921d67e517ebc9ee35b7c32dc63_object0,1,0.0,0.0,7.0,7.0
1794.rf.7a03ca09d05e9e2941f768bc8570cb54_object0,1,0.0,1.0,2.0,2.0
2240.rf.66f2163089851cb1d7874b913e592b94_object0,1,0.0,0.0,19.0,19.0
1706.rf.011d213c21ec78896c36728dcbc156f5_object0,1,0.0,0.0,7.0,7.0
3118.rf.c666d79c4882118c0a6142e165e3632f_object0,1,0.0,1.0,2.0,2.0
2091.rf.ab9d969f82e8610c30ec3f7576494f44_object0,1,0.0,0.0,11.0,11.0
2064.rf.f9f37327dfaaa571b91ccc5d25cc8039_object1,1,0.0,1.0,3.0,3.0
3049.rf.4cf26f933dc21c9d1fda9807c0b3d35d_object0,1,0.0,0.0,17.0,17.0
